lang,hard_filter_survival_rate,n_train,n_survivors,n_quality_keep,mean_ppl_keep,mean_ppl_drop,n_train_hours,greedy_test_wer,lm_test_wer,abs_lm_improvement,rel_lm_improvement
el-CY,0.8977,782,702,421,4.31,5.39,7.15268,0.4548432381843706,0.3430042115114646,0.11183902667290602,0.2458847736625516
kcn,0.8918,1395,1244,746,4.87,6.23,7.2125,0.6037338942939784,0.4838285564028398,0.11990533789113861,0.19860627177700355
sco,0.8936,423,378,226,4.8,5.63,6.35408,0.3458445040214477,0.283572995369242,0.062271508652205654,0.18005637773079622
aln,0.8902,965,859,515,4.83,6.35,6.38598,0.6108205953338697,0.5068382944489139,0.10398230088495575,0.1702337833388212
bew,0.8931,814,727,436,4.89,5.94,5.78617,0.4909284951974386,0.4345784418356457,0.056350053361792884,0.11478260869565204
hch,0.8969,844,757,454,4.32,5.29,6.27442,0.9567157518964748,0.9941990182954038,-0.03748326639892896,-0.039179104477611845
